,DPkValue,dueDate,dueDate_key,echelon,equipment,feasible,finalProduct,immPre,immSuc,invHolding,invHolding_key,lambdaIter,lb,lk,minGammaSj,mkGroup,originalDueDate,originalFinalProduct,originalImmSuc,parts,processTime,processTime_key,s_phi,secondTerm,sigmaLambda_hj,sigmaLambda_lambdaj,sigmaPhi_pj,stack,startTime,thirdTerm,ub,uk,wOverp,weight
0,-138.0,70.0,d4,2,mk11,True,h4,['g4'],finalProduct,10,hh,0.0,10,10,99999.0,minus,70,h4,finalProduct,h4,1,ph,70.0,140.0,8,0.0,1,"[('h4', 1)]",69.0,0.0,69.0,69,-2.0,-2.0
1,-98.0,50.0,d1,2,mk11,True,h1,['g1'],finalProduct,10,hh,0.0,10,10,59.0,minus,50,h1,finalProduct,h1,1,ph,50.0,100.0,8,0.0,1,"[('h1', 1)]",49.0,0.0,49.0,69,-2.0,-2.0
2,-118.0,60.0,d2,2,mk11,True,h2,['g2'],finalProduct,10,hh,0.0,10,10,64.0,minus,60,h2,finalProduct,h2,1,ph,60.0,120.0,8,0.0,1,"[('h2', 1)]",59.0,0.0,59.0,64.0,-2.0,-2.0
3,-128.0,65.0,d3,2,mk11,True,h3,['g3'],finalProduct,10,hh,0.0,10,10,99999.0,minus,65,h3,finalProduct,h3,1,ph,65.0,130.0,8,0.0,1,"[('h3', 1)]",64.0,0.0,64.0,64.0,-2.0,-2.0
4,-123.0,49.0,d1,3,mk12,True,g1,"['c1', 'd1']",finalProduct,8,hg,0.0,4,4,47.0,minus,50,h1,h1,g1,6,pg,49.0,147.0,5,0.0,6,"[('g1', 6)]",41.0,0.0,43.0,63.0,-0.5,-3.0
5,-141.0,65.0,d3,3,mk12,True,h3,"['c3', 'd3']",h3,8,hg,0.0,4,4,53.0,minus,65,h3,h3,g3,6,pg,64.0,195.0,5,0.0,7,"[('g3', 6), ('h3', 1)]",47.0,0.0,58.0,63.0,-0.5,-3.0
6,-159.0,60.0,d2,3,mk12,True,h2,"['c2', 'd2']",h2,8,hg,0.0,4,4,59.0,minus,60,h2,h2,g2,6,pg,59.0,180.0,5,0.0,7,"[('g2', 6), ('h2', 1)]",53.0,0.0,53.0,63.0,-0.5,-3.0
7,-189.0,69.0,d4,3,mk12,True,g4,"['c4', 'd4']",finalProduct,8,hg,0.0,4,4,99999.0,minus,70,h4,h4,g4,6,pg,69.0,207.0,5,0.0,6,"[('g4', 6)]",63.0,0.0,63.0,63.0,-0.5,-3.0
8,-37.0,49.0,d1,1,mk13,True,g1,rawMaterial,g1,1,hd,0.0,0,0,43.0,minus,50,h1,g1,d1,4,pd,41.0,49.0,0,0,10,"[('d1', 4), ('g1', 6)]",37.0,0.0,39.0,59.0,-0.25,-1.0
9,-43.0,65.0,d3,1,mk13,True,h3,rawMaterial,g3,1,hd,0.0,0,0,49.0,minus,65,h3,g3,d3,4,pd,47.0,65.0,0,0,11,"[('d3', 4), ('g3', 6), ('h3', 1)]",43.0,0.0,54.0,59.0,-0.25,-1.0
10,-49.0,60.0,d2,1,mk13,True,h2,rawMaterial,g2,1,hd,0.0,0,0,53.0,minus,60,h2,g2,d2,4,pd,53.0,60.0,0,0,11,"[('d2', 4), ('g2', 6), ('h2', 1)]",49.0,0.0,49.0,59.0,-0.25,-1.0
11,-59.0,69.0,d4,1,mk13,True,g4,rawMaterial,g4,1,hd,0.0,0,0,99999.0,minus,70,h4,g4,d4,4,pd,63.0,69.0,0,0,10,"[('d4', 4), ('g4', 6)]",59.0,0.0,59.0,59.0,-0.25,-1.0
12,-72.0,49.0,d1,2,mk14,True,g1,['b1'],g1,4,hc,0.0,5,5,42.0,minus,50,h1,g1,c1,5,pc,41.0,98.0,2,0.0,11,"[('c1', 5), ('g1', 6)]",36.0,0.0,38.0,58.0,-0.4,-2.0
13,-84.0,65.0,d3,2,mk14,True,h3,['b3'],g3,4,hc,0.0,5,5,48.0,minus,65,h3,g3,c3,5,pc,47.0,130.0,2,0.0,12,"[('c3', 5), ('g3', 6), ('h3', 1)]",42.0,0.0,53.0,58.0,-0.4,-2.0
14,-96.0,60.0,d2,2,mk14,True,h2,['b2'],g2,4,hc,0.0,5,5,53.0,minus,60,h2,g2,c2,5,pc,53.0,120.0,2,0.0,12,"[('c2', 5), ('g2', 6), ('h2', 1)]",48.0,0.0,48.0,58.0,-0.4,-2.0
15,-116.0,69.0,d4,2,mk14,True,g4,['b4'],g4,4,hc,0.0,5,5,99999.0,minus,70,h4,g4,c4,5,pc,63.0,138.0,2,0.0,11,"[('c4', 5), ('g4', 6)]",58.0,0.0,58.0,58.0,-0.4,-2.0
16,-34.0,50.0,d1,1,mk15,True,h1,['a1'],c1,2,hb,0.0,3,3,40.0,minus,50,h1,c1,b1,2,pb,36.0,50.0,1,0.0,13,"[('b1', 2), ('c1', 5), ('g1', 6)]",34.0,0.0,37.0,57.0,-0.5,-1.0
17,-40.0,65.0,d3,1,mk15,True,h3,['a3'],c3,2,hb,0.0,3,3,46.0,minus,65,h3,c3,b3,2,pb,42.0,65.0,1,0.0,14,"[('b3', 2), ('c3', 5), ('g3', 6), ('h3', 1)]",40.0,0.0,51.0,57.0,-0.5,-1.0
18,-46.0,60.0,d2,1,mk15,True,h2,['a2'],c2,2,hb,0.0,3,3,48.0,minus,60,h2,c2,b2,2,pb,48.0,60.0,1,0.0,14,"[('b2', 2), ('c2', 5), ('g2', 6), ('h2', 1)]",46.0,0.0,46.0,57.0,-0.5,-1.0
19,-56.0,70.0,d4,1,mk15,True,h4,['a4'],c4,2,hb,0.0,3,3,99999.0,minus,70,h4,c4,b4,2,pb,58.0,70.0,1,0.0,13,"[('b4', 2), ('c4', 5), ('g4', 6)]",56.0,0.0,57.0,57.0,-0.5,-1.0
20,-31.0,50.0,d1,1,mk16,True,h1,rawMaterial,b1,1,ha,0.0,0,0,37.0,minus,50,h1,b1,a1,3,pa,34.0,50.0,0,0,16,"[('a1', 3), ('b1', 2), ('c1', 5), ('g1', 6)]",31.0,0.0,34.0,54.0,-0.3333333333333333,-1.0
21,-37.0,65.0,d3,1,mk16,True,h3,rawMaterial,b3,1,ha,0.0,0,0,43.0,minus,65,h3,b3,a3,3,pa,40.0,65.0,0,0,17,"[('a3', 3), ('b3', 2), ('c3', 5), ('g3', 6), ('h3', 1)]",37.0,0.0,48.0,54.0,-0.3333333333333333,-1.0
22,-43.0,60.0,d2,1,mk16,True,h2,rawMaterial,b2,1,ha,0.0,0,0,46.0,minus,60,h2,b2,a2,3,pa,46.0,60.0,0,0,17,"[('a2', 3), ('b2', 2), ('c2', 5), ('g2', 6), ('h2', 1)]",43.0,0.0,43.0,54.0,-0.3333333333333333,-1.0
23,-53.0,70.0,d4,1,mk16,True,h4,rawMaterial,b4,1,ha,0.0,0,0,99999.0,minus,70,h4,b4,a4,3,pa,56.0,70.0,0,0,16,"[('a4', 3), ('b4', 2), ('c4', 5), ('g4', 6)]",53.0,0.0,54.0,54.0,-0.3333333333333333,-1.0
